layer,state,run
12,2,41
12,2,42
13,2,41
13,2,42
14,2,41
14,2,42
15,2,41
15,2,42
16,2,41
16,2,42
17,2,41
17,2,42
18,2,41
18,2,42
19,2,41
19,2,42
12,3,41
12,3,42
13,3,41
13,3,42
14,3,41
14,3,42
15,3,41
15,3,42
16,3,41
16,3,42
17,3,41
17,3,42
18,3,41
18,3,42
19,3,41
19,3,42
12,4,41
12,4,42
13,4,41
13,4,42
14,4,41
14,4,42
15,4,41
15,4,42
16,4,41
16,4,42
17,4,41
17,4,42
18,4,41
18,4,42
19,4,41
19,4,42
12,5,41
12,5,42
13,5,41
13,5,42
14,5,41
14,5,42
15,5,41
15,5,42
16,5,41
16,5,42
17,5,41
17,5,42
18,5,41
18,5,42
19,5,41
19,5,42
